commodity,province,MAPE,MAE,samples
Bawang Merah,Aceh,1.4209569413689016,510.9639692164179,1004
Bawang Merah,Bali,1.6655022797564607,484.373144045398,1004
Bawang Merah,Banten,2.50845529537444,921.0412293998756,1004
Bawang Merah,Bengkulu,1.3619589032149484,482.33026274875624,1004
Bawang Merah,DI Yogyakarta,2.279358851648585,730.535059079602,1004
Bawang Merah,DKI Jakarta,2.313327410173334,992.3770308613184,1004
Bawang Merah,Gorontalo,2.932953060107416,1162.2141732742537,1004
Bawang Merah,Jambi,1.6496633820163629,492.3496190920398,1004
Bawang Merah,Jawa Barat,1.2945341725822037,460.70566114738807,1004
Bawang Merah,Jawa Tengah,1.609320642727576,554.3477728544776,1004
Bawang Merah,Jawa Timur,1.3669315040113181,427.62648670708955,1004
Bawang Merah,Kalimantan Barat,1.2881560905003304,491.4707225590796,1004
Bawang Merah,Kalimantan Selatan,1.7028842166518585,647.0281988495025,1004
Bawang Merah,Kalimantan Tengah,1.3682769661282144,543.013526119403,1004
Bawang Merah,Kalimantan Timur,2.4179367062857247,952.3004994558457,1004
Bawang Merah,Kalimantan Utara,1.4722704510787281,676.4569729477612,1004
Bawang Merah,Kepulauan Bangka Belitung,1.8407845090364927,735.0278587531094,1004
Bawang Merah,Kepulauan Riau,2.448802687606562,877.0632676461443,1004
Bawang Merah,Lampung,1.6790154598259288,565.5209207866916,1004
Bawang Merah,Maluku,2.0754792611257322,944.8347520211443,1004
Bawang Merah,Maluku Utara,1.9889494735059958,1049.6552977300994,1004
Bawang Merah,Nusa Tenggara Barat,2.1466283944014237,612.4743713075248,1004
Bawang Merah,Nusa Tenggara Timur,2.0334868856382338,623.1806300528607,1004
Bawang Merah,Papua,1.4170778979267706,830.2957866915423,1004
Bawang Merah,Papua Barat,2.933935994031884,1576.8421758395523,1004
Bawang Merah,Riau,1.7658021043716055,605.5702541977612,1004
Bawang Merah,Sulawesi Barat,2.035654957484432,744.7206253886816,1004
Bawang Merah,Sulawesi Selatan,1.2386088674437783,426.8710645988806,1004
Bawang Merah,Sulawesi Tengah,1.9810989229335454,771.8277946206467,1004
Bawang Merah,Sulawesi Tenggara,1.9266437635227969,763.6413926461443,1004
Bawang Merah,Sulawesi Utara,1.537449843131467,660.1036905317164,1004
Bawang Merah,Sumatera Barat,2.0440314889272537,586.2282921330846,1004
Bawang Merah,Sumatera Selatan,1.4149719077151497,495.1387010261194,1004
Bawang Merah,Sumatera Utara,1.205446537188452,402.32829018967664,1004
Bawang Putih Bonggol,Aceh,0.8859028047437421,269.00020405783584,1004
Bawang Putih Bonggol,Bali,1.2147269475429145,340.4376166044776,1004
Bawang Putih Bonggol,Banten,1.827652450012713,562.6559584888059,1004
Bawang Putih Bonggol,Bengkulu,1.303697583665474,407.5692630597015,1004
Bawang Putih Bonggol,DI Yogyakarta,1.5932393641577751,425.9257520988806,1004
Bawang Putih Bonggol,DKI Jakarta,1.5023551983294947,531.3226445895522,1004
Bawang Putih Bonggol,Gorontalo,1.5375476257743574,598.2520600124378,1004
Bawang Putih Bonggol,Jambi,1.0094506502684455,279.1390508395522,1004
Bawang Putih Bonggol,Jawa Barat,0.8949100674312538,273.2169231965174,1004
Bawang Putih Bonggol,Jawa Tengah,1.0711227317419045,303.4643287468905,1004
Bawang Putih Bonggol,Jawa Timur,0.8715683146749185,229.80281211131842,1004
Bawang Putih Bonggol,Kalimantan Barat,0.9020493038959224,277.96362912002485,1004
Bawang Putih Bonggol,Kalimantan Selatan,1.0116095457094965,317.8201958955224,1004
Bawang Putih Bonggol,Kalimantan Tengah,1.018103181614377,342.8413693252487,1004
Bawang Putih Bonggol,Kalimantan Timur,1.6541479684738447,576.3936567164179,1004
Bawang Putih Bonggol,Kalimantan Utara,1.4536104568177088,545.3819671175373,1004
